,ranks,experiment,iteration,size,average_latency_us,nodes
558,2,container-with-usernetes,15,32.0,7.76,2
559,2,container-with-usernetes,15,64.0,7.86,2
560,2,container-with-usernetes,15,128.0,7.87,2
561,2,container-with-usernetes,15,256.0,7.89,2
562,2,container-with-usernetes,15,512.0,7.93,2
563,2,container-with-usernetes,15,1024.0,8.02,2
564,2,container-with-usernetes,15,2048.0,8.31,2
565,2,container-with-usernetes,15,4096.0,8.78,2
566,2,container-with-usernetes,15,8192.0,9.58,2
567,2,container-with-usernetes,15,16384.0,10.16,2
568,2,container-with-usernetes,15,32768.0,11.44,2
569,2,container-with-usernetes,15,65536.0,13.99,2
570,2,container-with-usernetes,15,131072.0,33.97,2
571,2,container-with-usernetes,15,262144.0,44.17,2
572,2,container-with-usernetes,15,524288.0,80.87,2
573,2,container-with-usernetes,15,1048576.0,77.89,2
574,2,container-with-usernetes,15,2097152.0,156.51,2
575,2,container-with-usernetes,15,4194304.0,239.23,2
576,2,container-with-usernetes,2,0.0,7.45,2
577,2,container-with-usernetes,2,1.0,7.48,2
578,2,container-with-usernetes,2,2.0,7.48,2
579,2,container-with-usernetes,2,4.0,7.48,2
580,2,container-with-usernetes,2,8.0,7.78,2
581,2,container-with-usernetes,2,16.0,7.78,2
582,2,container-with-usernetes,2,32.0,7.78,2
583,2,container-with-usernetes,2,64.0,7.9,2
584,2,container-with-usernetes,2,128.0,7.9,2
585,2,container-with-usernetes,2,256.0,7.92,2
586,2,container-with-usernetes,2,512.0,7.96,2
587,2,container-with-usernetes,2,1024.0,8.07,2
588,2,container-with-usernetes,2,2048.0,8.34,2
589,2,container-with-usernetes,2,4096.0,8.76,2
590,2,container-with-usernetes,2,8192.0,9.58,2
591,2,container-with-usernetes,2,16384.0,10.2,2
592,2,container-with-usernetes,2,32768.0,11.42,2
593,2,container-with-usernetes,2,65536.0,13.99,2
594,2,container-with-usernetes,2,131072.0,34.03,2
